,City,lat,lon,temp_F,humidity,cloudiness,wind_mph
323,Puerto Escondido,15.85,-97.07,79.97,78,87,3.18
324,Oparino,59.85,48.28,51.76,86,87,5.93
325,Xining,36.62,101.77,63.46,40,95,3.74
326,Tuatapere,-46.13,167.68,59.0,63,100,3.0
327,Iskateley,67.68,53.15,53.06,87,34,17.83
328,Piedade,-23.71,-47.43,72.0,47,22,3.0
329,Havelock,34.88,-76.9,70.56,94,75,5.82
330,Harsūd,22.1,76.73,82.56,82,75,11.12
331,Grand-Santi,4.25,-54.38,72.09,97,2,1.52
332,Puerto Rondón,6.28,-71.1,75.29,84,77,3.31
333,Xiangfan,32.04,112.14,80.02,48,52,4.45
334,Samarai,-10.62,150.67,80.02,79,44,11.63
335,Bom Jesus do Itabapoana,-21.13,-41.68,68.29,87,2,1.68
336,Gogrial,8.53,28.1,72.39,91,89,4.54
337,Padang,-0.95,100.35,77.61,85,100,5.08
338,Natal,-5.79,-35.21,73.53,73,40,13.87
339,Roswell,34.02,-84.36,67.39,100,90,2.06
340,Bowen,-20.02,148.23,91.4,22,7,11.41
341,Ploskoye,52.76,38.36,55.29,57,1,11.07
342,Bondo,3.81,23.69,68.0,96,95,0.51
343,Kabalo,-6.05,26.92,73.09,86,99,2.13
344,Alofi,-19.06,-169.92,75.2,78,25,17.22
345,Mount Gambier,-37.83,140.77,51.8,66,90,18.34
346,Muncar,-8.43,114.33,86.0,60,79,9.1
347,Babstovo,48.12,132.48,63.01,62,17,7.54
348,Bouna,9.27,-3.0,69.71,88,69,1.05
349,Moree,-29.47,149.85,66.2,19,0,17.22
350,El Tigre,8.89,-64.25,74.25,83,99,9.1
351,Cap Malheureux,-19.98,57.61,77.0,52,15,10.0
352,Cabildo,-38.48,-61.9,53.01,95,100,1.99
353,Liwale,-9.77,37.93,69.96,72,91,6.55
354,Mahabalipuram,12.63,80.17,86.0,66,75,8.05
355,Lieksa,63.32,30.02,50.88,88,31,7.47
356,Kaitangata,-46.28,169.85,55.99,65,96,5.99
357,Tshela,-4.98,12.93,71.58,85,98,2.08
358,Snåase,64.25,12.38,37.96,85,99,2.57
359,Grand Forks,47.93,-97.03,54.84,54,1,6.93
360,Caraguatatuba,-23.63,-45.49,66.99,85,24,0.96
361,Loa Janan,-0.58,117.09,90.45,58,46,3.91
362,Elko,41.0,-115.5,59.76,30,11,1.99
363,Gela,37.08,14.23,62.4,59,13,10.29
364,Kashmor,28.43,69.58,93.49,33,0,8.97
365,Gmina Końskie,51.19,20.41,59.95,10,100,55.99
366,Leh,34.17,77.58,50.41,42,16,5.77
367,Kahului,20.89,-156.47,75.27,65,20,14.99
368,Port Elizabeth,-33.92,25.57,55.4,58,40,20.8
369,Mayo,38.89,-76.51,61.25,100,90,9.17
370,Arman',59.7,150.17,53.87,48,0,4.03
371,Sakakah,29.97,40.21,78.8,34,0,11.41
372,Oktyabr'skiy,54.48,53.47,52.41,62,97,2.75
373,Nelson Bay,-32.72,152.15,63.7,31,40,26.4
374,Moindou,-21.69,165.68,89.6,43,6,9.17
375,Kushima,31.46,131.23,77.76,61,75,8.05
376,Teguise,29.06,-13.56,75.2,78,20,18.34
377,Katobu,-4.94,122.53,87.06,60,100,2.04
378,Antalaha,-14.9,50.28,73.76,68,6,7.07
379,Dori,14.04,-0.03,82.54,61,29,8.37
380,Lerwick,60.15,-1.15,46.4,75,39,17.22
381,Nioro,13.35,-15.75,74.89,96,98,2.89
382,Moss Vale,-34.55,150.38,59.4,38,36,25.28
383,Vestmanna,62.16,-7.17,41.0,93,16,2.24
384,Baykit,61.67,96.37,52.11,52,1,4.43
385,Hofn,64.25,-15.21,45.03,75,100,21.97
386,Grants Pass,42.44,-123.33,56.26,93,40,5.82
387,Soto la Marina,23.77,-98.22,75.99,96,3,5.01
388,Sistranda,63.73,8.83,42.8,75,100,9.17
389,Griffith,41.53,-87.42,65.26,77,1,10.29
390,Comodoro Rivadavia,-45.87,-67.5,57.2,30,0,19.46
391,Yazoo City,32.86,-90.41,67.06,100,90,3.29
392,Kruisfontein,-34.0,24.73,55.99,46,9,10.0
393,Port Lincoln,-34.73,135.87,54.18,56,88,10.58
394,Uberlândia,-18.92,-48.28,69.8,46,0,8.05
395,Businga,3.33,20.88,69.06,91,77,0.6
396,Laguna,38.42,-121.42,69.19,52,1,4.85
397,Sambava,-14.27,50.17,72.95,70,16,10.31
398,Shihezi,44.3,86.03,58.89,34,54,8.12
399,Moussoro,13.64,16.49,86.74,40,99,7.76
400,Naze,28.37,129.48,82.4,69,75,8.05
401,Forsytheganj,52.63,29.73,57.83,69,12,11.03
402,Jiazi,22.88,116.07,80.24,74,97,19.17
403,Parintins,-2.63,-56.74,74.62,91,64,0.98
404,Ca Mau,9.18,105.15,84.06,75,98,8.97
405,Bethanien,-26.5,17.16,40.62,89,0,1.52
406,Erenhot,43.65,111.98,75.38,34,0,20.15
407,Verkhoyansk,67.54,133.38,53.55,40,4,7.43
408,La Palma,33.85,-118.05,67.93,77,1,3.36
409,Verāval,20.9,70.37,83.19,72,70,13.29
410,Grindavik,63.84,-22.43,46.4,100,90,31.09
411,Daru,-9.08,143.21,80.96,78,31,14.67
412,Swan Hill,-35.34,143.55,53.89,51,65,13.71
413,Calama,-22.47,-68.93,48.2,19,0,17.22
414,Sangmélima,2.93,11.98,66.31,100,100,2.19
415,Lyubashivka,47.84,30.26,60.06,76,6,10.25
416,Kyra,49.58,111.98,57.85,40,47,13.69
417,Namatanai,-3.67,152.43,85.78,67,73,7.11
418,Challapata,-18.9,-66.77,46.42,46,2,1.77
419,Pisco,-13.7,-76.22,59.43,87,20,4.7
420,Iqaluit,63.75,-68.51,30.0,92,17,15.01
421,Kaoma,-14.78,24.8,65.62,28,5,5.08
422,Kasempa,-13.46,25.83,63.68,35,0,6.58
423,Quang Ngai,15.12,108.8,90.95,57,89,7.99
424,Tura,25.52,90.22,81.55,80,87,8.3
425,Pierre,44.37,-100.35,57.2,47,1,6.93
426,Najrān,17.49,44.13,78.8,15,0,4.7
427,Fomboni,-12.28,43.74,76.93,73,4,11.86
428,Mendi,-6.18,143.65,62.15,97,68,2.66
429,Bonthe,7.53,-12.51,75.87,88,99,3.85
430,Havøysund,71.0,24.66,41.0,80,90,23.04
431,Thunder Bay,48.4,-89.32,55.99,93,67,0.13
432,Tual,-5.67,132.75,80.29,83,29,12.88
433,Dubbo,-32.25,148.62,53.6,50,40,17.22
434,Jodhpur,26.29,73.03,87.31,54,0,12.59
435,Svetlaya,46.54,138.33,56.98,72,100,16.31
436,Kutum,14.2,24.67,73.38,63,86,11.95
437,Ures,29.43,-110.4,82.33,51,0,1.01
438,Mehrān,33.12,46.16,69.8,21,0,6.93
439,Husavik,66.04,-17.34,44.6,70,40,17.22
440,Khani,41.96,42.96,68.0,94,75,5.82
441,Karakol,42.49,78.39,56.23,40,0,5.17
442,Kropotkin,45.44,40.58,66.54,43,98,15.03
443,Novoagansk,61.94,76.66,47.16,69,13,7.29
444,Bonga,7.28,36.23,62.71,87,75,0.94
445,Burē,10.7,37.07,61.3,87,55,1.7
446,Lorengau,-2.02,147.27,86.52,64,42,7.99
447,Devils Lake,48.11,-98.87,60.8,51,1,5.82
448,Zhangye,38.93,100.45,67.51,27,0,7.23
449,Selikhino,50.37,137.5,64.98,47,3,2.75
450,Wilmington Island,32.0,-80.97,73.44,94,40,3.85
451,Frankfurt am Main,50.12,8.68,49.57,66,75,12.75
452,Fandriana,-20.23,47.38,68.02,54,2,0.63
453,Lugovoy,42.95,72.76,54.97,38,17,5.59
454,Gladstone,-23.85,151.25,86.0,9,0,12.75
455,Mehamn,71.04,27.85,43.86,70,85,17.67
456,El Alto,-4.27,-81.21,61.45,86,32,14.29
457,Neuquén,-38.95,-68.06,62.6,72,75,4.7
458,Kipini,-2.53,40.53,78.91,74,8,11.56
459,Inhambane,-23.86,35.38,70.29,88,20,16.11
460,Nizhneangarsk,55.78,109.55,45.32,74,100,20.96
461,Murree,33.91,73.39,81.07,50,75,11.41
462,Kilrush,52.64,-9.48,39.2,93,100,5.82
463,Yerbogachën,61.28,108.01,51.04,62,7,11.05
464,Trairi,-3.28,-39.27,77.63,80,97,13.44
465,Salaga,8.55,-0.52,73.89,91,96,3.04
466,Belyy,55.84,32.94,54.25,71,96,8.77
467,Rāvar,31.27,56.81,81.93,13,0,3.67
468,Dera Bugti,29.03,69.15,91.24,15,0,4.25
469,Mountain Home,43.13,-115.69,68.0,30,40,12.75
470,Xingtai,37.06,114.49,78.87,44,0,4.43
471,Hamilton,39.18,-84.53,65.5,93,75,1.9
472,Nurota,40.56,65.69,68.0,30,34,11.63
473,Narsaq,60.92,-46.05,37.4,86,99,1.12
474,Ust-Tsilma,65.44,52.15,53.33,87,84,6.89
475,Tigre,-34.43,-58.58,58.95,93,90,13.87
476,Rodrigues Alves,-7.74,-72.65,74.37,81,45,3.74
